S_ID,BRANCH,GPA_2,RANK,S_ID ,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT,gpamat,gpasci,GPA,GPA_MATCH,GPA_SCI
67066,0,2.44,1,99840033,พะตงวิทยามูลนิธิ,90,สงขลา,S,0,1,1.3,2.33,2.4,1.3,2.3
67123,2,3.27,1,84012,ดอนสักผดุงวิทย์,84,สุราษฎร์ธานี,S,0,1,4,2,3.3,4,2
67125,3,3.59,1,93106,วิทยาลัยเทคนิคพัทลุง,93,พัทลุง,S,0,3,3.37,2.75,3.6,3.4,2.8
67151,2,3.09,1,82009,ท้ายเหมืองวิทยา,82,พังงา,S,0,2,1.7,1.64,3.1,1.7,1.6
67205,1,3.08,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,S,0,3,2.04,2.19,3.1,2,2.2
67224,2,2.68,1,80018,ฉวางรัชดาภิเษก,80,นครศรีธรรมราช,S,0,1,2.5,2.62,2.7,2.5,2.6
67230,2,2.98,1,99840033,พะตงวิทยามูลนิธิ,90,สงขลา,S,0,1,2.66,2.79,3,2.7,2.8
67232,3,2.86,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,S,0,3,2,2.5,2.9,2,2.5
67236,1,3.35,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,S,0,2,1.75,2.5,3.4,1.8,2.5
67523,0,2.62,0,70508,นารีวุฒิ,70,ราชบุรี,W,0,2,,,2.6,0,0
67684,2,3.35,1,92010,ทุ่งหนองแห้งประชาสรรค์,92,ตรัง,S,0,3,,,3.4,0,0
67750,0,2.27,0,80002,กัลยาณีศรีธรรมราช,80,นครศรีธรรมราช,S,0,3,,,2.3,0,0
67796,0,2.28,1,93030,หารเทารังสีประชาสรรค์,93,พัทลุง,S,0,2,,,2.3,0,0
67859,3,2.08,1,80086,สิชลคุณาธารวิทยา,80,นครศรีธรรมราช,S,0,1,1.55,1.77,2.1,1.6,1.8
67863,2,2.3,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,S,0,1,2.02,1.93,2.3,2,1.9
67890,0,2.32,1,92022,สภาราชินี 2,92,ตรัง,S,0,2,2.13,2,2.3,2.1,2
67946,2,2.94,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,S,0,2,1.5,2.5,2.9,1.5,2.5
67958,2,2.86,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,83,ภูเก็ต,S,0,2,1.91,1.95,2.9,1.9,2
67963,2,3.33,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,S,0,2,3.25,3.25,3.3,3.3,3.3
67969,0,2.16,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,83,ภูเก็ต,S,0,2,1.5,3,2.2,1.5,3
67971,0,2.56,1,90307,จริยธรรมศึกษามูลนิธิ,90,สงขลา,S,0,1,1.94,1.4,2.6,1.9,1.4
67975,0,3.18,1,8,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอหัวไทร,80,นครศรีธรรมราช,S,0,2,2,2,3.2,2,2
68028,2,2.27,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,S,0,1,1.5,3,2.3,1.5,3
68035,2,2.98,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,S,0,1,3,2,3,3,2
68051,2,2.18,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,80,นครศรีธรรมราช,S,0,1,3.5,3,2.2,3.5,3
