S_ID,BRANCH,F_ID,F_NAME,GPA,E-GPA,ADMITACADYEAR,ACADYEAR,SEMESTER,RANK,S_NAME,P_NAME,R_NAME,FEE_NAME,ENTRYNAME,S_PARENT
66245,DCA,22,สารสนเทศศาสตร์,2.87,2.27,2559,2562,2,2,สตรีภูเก็ต,ภูเก็ต,S,BDA,3,2
66259,DCA,22,สารสนเทศศาสตร์,2.41,2.97,2559,2562,3,1,เคียนซาพิทยาคม,สุราษฎร์ธานี,S,BDA,3,2
66268,DCA,22,สารสนเทศศาสตร์,2.19,2.28,2559,2563,2,0,กัลยาณีศรีธรรมราช,นครศรีธรรมราช,S,BDA,3,1
66278,MTA,22,สารสนเทศศาสตร์,2.45,2.54,2559,2562,2,1,"สะเดา ""ขรรค์ชัยกัมพลานนท์อนุสรณ์""",สงขลา,S,BDA,3,2
66283,ITD,22,สารสนเทศศาสตร์,3.24,2.63,2559,2562,3,1,โยธินบำรุง,นครศรีธรรมราช,S,BDA,3,2
66284,MTA,22,สารสนเทศศาสตร์,2,2.17,2559,2563,1,0,หาดใหญ่วิทยาลัยสมบูรณ์กุลกันยา,สงขลา,S,BDA,3,1
66285,MTA,22,สารสนเทศศาสตร์,3.42,2.65,2559,2562,3,0,สตรีพัทลุง,พัทลุง,S,BDA,3,1
66299,MTA,22,สารสนเทศศาสตร์,2.72,3.33,2559,2562,2,1,ประทีปศาสน์,นครศรีธรรมราช,S,BDA,3,2
66300,DCA,22,สารสนเทศศาสตร์,2.53,2.97,2559,2562,3,0,หาดใหญ่วิทยาลัย,สงขลา,S,BDA,3,3
66322,DCM,22,สารสนเทศศาสตร์,2.47,2.66,2559,2562,3,2,หาดใหญ่วิทยาลัย,สงขลา,S,BDA,3,2
66306,MTA,22,สารสนเทศศาสตร์,3.11,3.11,2559,2562,3,0,สตรีภูเก็ต,ภูเก็ต,S,BDA,3,1
66323,DCM,22,สารสนเทศศาสตร์,2.89,2.22,2559,2562,3,0,หาดใหญ่วิทยาลัย,สงขลา,S,BDA,3,3
66332,DCM,22,สารสนเทศศาสตร์,2.62,2.95,2559,2563,2,2,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,ภูเก็ต,S,BDA,3,2
66343,MTA,22,สารสนเทศศาสตร์,2.26,2.49,2559,2562,3,1,หาดใหญ่เจริญราษฎร์พิทยา,สงขลา,S,BDA,3,3
66377,DCA,22,สารสนเทศศาสตร์,2.09,2.1,2559,2562,3,1,หาดใหญ่พิทยาคม,สงขลา,S,BDA,3,1
66388,DCA,22,สารสนเทศศาสตร์,2.24,2.73,2559,2562,2,1,สุคิรินวิทยา,นราธิวาส,S,BDA,3,2
