S_ID,BRANCH,F_ID,F_NAME,GPA,E-GPA,ADMITACADYEAR,ACADYEAR,SEMESTER,RANK,S_NAME,P_NAME,R_NAME,FEE_NAME,ENTRYNAME,S_PARENT
67035,MTA,22,สารสนเทศศาสตร์,3.33,3.56,2559,2562,2,1,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,2
67051,DCM,22,สารสนเทศศาสตร์,2.89,2.48,2559,2562,3,1,บริหารธุรกิจวิทยา,สงขลา,S,BDA,7,2
67052,DCA,22,สารสนเทศศาสตร์,3.28,3.13,2559,2562,3,0,สตรีราชินูทิศ,อุดรธานี,EN,BDA,7,3
67059,ITD,22,สารสนเทศศาสตร์,2.87,2.25,2559,2562,3,1,ฉวางรัชดาภิเษก,นครศรีธรรมราช,S,BDA,7,2
67064,MTA,22,สารสนเทศศาสตร์,2.97,2.92,2559,2562,3,1,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอเมืองสุราษฏร์ธานี,สุราษฎร์ธานี,S,BDA,7,1
67066,DCA,22,สารสนเทศศาสตร์,2.44,2.7,2559,2562,3,1,พะตงวิทยามูลนิธิ,สงขลา,S,BDA,7,1
67123,MTA,22,สารสนเทศศาสตร์,3.27,3.58,2559,2562,3,1,ดอนสักผดุงวิทย์,สุราษฎร์ธานี,S,BDA,7,1
67125,ITD,22,สารสนเทศศาสตร์,3.59,3.6,2559,2562,2,1,วิทยาลัยเทคนิคพัทลุง,พัทลุง,S,BDA,7,3
67151,MTA,22,สารสนเทศศาสตร์,3.09,2.05,2559,2562,2,1,ท้ายเหมืองวิทยา,พังงา,S,BDA,7,2
67205,DCM,22,สารสนเทศศาสตร์,3.08,2.36,2559,2562,3,0,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,ภูเก็ต,S,BDA,7,3
67224,MTA,22,สารสนเทศศาสตร์,2.68,2.61,2559,2562,3,1,ฉวางรัชดาภิเษก,นครศรีธรรมราช,S,BDA,7,1
67230,MTA,22,สารสนเทศศาสตร์,2.98,3.25,2559,2562,3,1,พะตงวิทยามูลนิธิ,สงขลา,S,BDA,7,1
67232,ITD,22,สารสนเทศศาสตร์,2.86,2.72,2559,2562,3,1,วิทยาลัยเทคนิคนครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,3
67236,DCM,22,สารสนเทศศาสตร์,3.35,2.97,2559,2562,3,1,วิทยาลัยอาชีวะศึกษาภูเก็ต,ภูเก็ต,S,BDA,7,2
67523,DCA,22,สารสนเทศศาสตร์,2.62,3.22,2559,2562,2,2,นารีวุฒิ,ราชบุรี,W,BDA,2,2
67524,DCA,22,สารสนเทศศาสตร์,2.11,1.63,2559,2563,2,1,หาดใหญ่รัฐประชาสรรค์,สงขลา,S,BDA,0,3
67684,MTA,22,สารสนเทศศาสตร์,3.35,3.44,2559,2562,3,1,ทุ่งหนองแห้งประชาสรรค์,ตรัง,S,BDA,0,3
67750,DCA,22,สารสนเทศศาสตร์,2.27,2.6,2559,2562,2,0,กัลยาณีศรีธรรมราช,นครศรีธรรมราช,S,BDA,0,3
67796,DCA,22,สารสนเทศศาสตร์,2.28,2.25,2559,2562,3,1,หารเทารังสีประชาสรรค์,พัทลุง,S,BDA,0,2
67857,DCM,22,สารสนเทศศาสตร์,2.57,2.42,2559,2563,2,2,สตรีภูเก็ต,ภูเก็ต,S,BDA,7,2
67859,ITD,22,สารสนเทศศาสตร์,2.08,2.15,2559,2562,3,1,สิชลคุณาธารวิทยา,นครศรีธรรมราช,S,BDA,7,1
67863,MTA,22,สารสนเทศศาสตร์,2.3,2.37,2559,2562,2,1,ศรีธรรมราชศึกษา,นครศรีธรรมราช,S,BDA,7,1
67890,DCA,22,สารสนเทศศาสตร์,2.32,2.75,2559,2562,3,1,สภาราชินี 2,ตรัง,S,BDA,7,2
67946,MTA,22,สารสนเทศศาสตร์,2.94,3.16,2559,2562,2,1,วิทยาลัยอาชีวะศึกษาภูเก็ต,ภูเก็ต,S,BDA,7,2
67958,MTA,22,สารสนเทศศาสตร์,2.86,2.22,2559,2562,3,2,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,ภูเก็ต,S,BDA,7,2
67963,MTA,22,สารสนเทศศาสตร์,3.33,3.22,2559,2562,3,1,วิทยาลัยอาชีวะศึกษาภูเก็ต,ภูเก็ต,S,BDA,7,2
67969,DCA,22,สารสนเทศศาสตร์,2.16,2.53,2559,2562,3,1,วิทยาลัยอาชีวะศึกษาภูเก็ต,ภูเก็ต,S,BDA,7,2
67971,DCA,22,สารสนเทศศาสตร์,2.56,2,2559,2562,2,1,จริยธรรมศึกษามูลนิธิ,สงขลา,S,BDA,7,1
67975,DCA,22,สารสนเทศศาสตร์,3.18,2.37,2559,2562,3,1,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอหัวไทร,นครศรีธรรมราช,S,BDA,7,2
68028,MTA,22,สารสนเทศศาสตร์,2.27,2.74,2559,2562,2,1,วิทยาลัยเทคนิคนครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,1
68035,MTA,22,สารสนเทศศาสตร์,2.98,3.11,2559,2562,2,1,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,1
