S_ID,BRANCH,GPA,RANK,S_ID,S_NAME,P_ID,P_NAME,R_NAME,FEE_NAME,S_PARENT
69897,2,2.98,0,85007,สตรีระนอง,85,ระนอง,5,0,2
69926,0,2.47,0,80032,เตรียมอุดมศึกษาภาคใต้,80,นครศรีธรรมราช,5,0,2
69967,2,3.24,2,82004,ดีบุกพังงาวิทยายน,82,พังงา,5,0,2
69975,2,2.73,0,95015,สตรียะลา,95,ยะลา,5,0,3
69987,0,2.73,1,81006,พนมเบญจา,81,กระบี่,5,0,2
70001,2,2.6,1,80075,ศรีธรรมราชศึกษา,80,นครศรีธรรมราช,5,0,1
70009,2,2.85,1,80037,ท่าศาลาประสิทธิ์ศึกษา,80,นครศรีธรรมราช,5,0,1
72264,2,2.79,0,84046,สุราษฎร์ธานี 2,84,สุราษฎร์ธานี,5,0,2
70129,0,2.87,1,81001,คลองท่อมราษฎร์รังสรรค์,81,กระบี่,5,0,2
72232,0,2.54,0,1080210774,เบญจมราชูทิศ นครศรีธรรมราช,80,นครศรีธรรมราช,5,0,2
70173,0,2.25,1,80064,เมืองนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,2
72277,3,2.97,0,90048,หาดใหญ่วิทยาลัย,90,สงขลา,5,0,2
70243,0,2.79,0,91011,พิมานพิทยาสรรค์,91,สตูล,5,0,1
70244,0,2.83,1,9,สุราษฏร์พิทยา2,84,สุราษฎร์ธานี,5,0,2
70238,0,3.21,0,99840047,เทศบาลปลูกปัญญา ในประอุปถัมภ์,83,ภูเก็ต,5,0,3
70266,0,2.76,1,80092,หัวไทรบำรุงราษฎร์,80,นครศรีธรรมราช,5,0,3
72275,1,3.22,0,90048,หาดใหญ่วิทยาลัยสมบูรณ์กุลกันยา,90,สงขลา,5,0,2
70372,2,2.66,0,92020,วิเชียรมาตุ,92,ตรัง,5,0,3
70429,0,3.36,1,90028,ระโนดวิทยา,90,สงขลา,5,0,1
72452,0,2.33,0,99840072,เทศบาล ๒ (วัดกะพังสุรินทร์),92,ตรัง,5,0,2
70469,2,2.84,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,80,นครศรีธรรมราช,5,0,2
72482,2,2.65,0,17101,สมุทรสาครวิทยาลัย,74,สมุทรสาคร,0,0,2
70489,0,2.65,1,90045,หาดใหญ่รัฐประชาสรรค์,90,สงขลา,5,0,1
70491,0,2.73,1,86013,สวนศรีวิทยา,86,ชุมพร,5,0,1
70517,2,3.04,0,85007,สตรีระนอง,85,ระนอง,5,0,1
70518,2,2.35,1,80014,จรัสพิชากร,80,นครศรีธรรมราช,5,0,2
70538,0,3.38,1,92015,มัธยมวัดควนวิเศษมูลนิธิ,92,ตรัง,5,0,2
