BRANCH,F_NAME,GPA,ENTRY-GPA,SEMESTER,S_TYPE,R_NAME,OUTLAY,ENTRYNAME,CHOICENAME
MTA,INFO,A,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
IT,INFO,A,A,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,A,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCM,INFO,A,C,3,โรงเรียนมีชื่อเสียง,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
MTA,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
MTA,INFO,B,A,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"น้อยกว่า 12,500 บาทต่อเดือน"
IT,INFO,B,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"มากกว่า 25,000 บาทต่อเดือน"
DCM,INFO,A,B,3,โรงเรียนทั่วไป,ภาคใต้,BDA,รับตรง,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,B,A,2,โรงเรียนมีชื่อเสียง,ภาคตะวันตก,BDA,Admission,"12,500-25,000 บาทต่อเดือน"
DCA,INFO,C,C,2,โรงเรียนทั่วไป,ภาคใต้,BDA,Admission,"มากกว่า 25,000 บาทต่อเดือน"
