S_ID,BRANCH,F_ID,F_NAME,GPA,E82004GPA,ADMITACADYEAR,ACADYEAR,SEMESTER,RANK,S_ID ,S_NAME,P_NAME,R_NAME,FEE_NAME,ENTRYNAME,S_PARENT,LABEL
66912,DCA,22,สารสนเทศศาสตร์,2.63,2.88,2559,2562,2,1,80054,ปากพูน,นครศรีธรรมราช,S,BDA,7,1,จบ
66927,DCA,22,สารสนเทศศาสตร์,2.43,3.49,2559,2562,3,1,99840001,เทศบาล 5,สุราษฎร์ธานี,S,BDA,7,3,จบ
66946,MTA,22,สารสนเทศศาสตร์,2.22,3.23,2559,2562,2,1,84110,วิทยาลัยอาชีวศึกษาสุราษฎร์ธานี,สุราษฎร์ธานี,S,BDA,7,3,จบ
66952,MTA,22,สารสนเทศศาสตร์,2.73,3.43,2559,2562,3,1,94105,วิทยาลัยอาชีวศึกษาปัตตานี,ปัตตานี,S,BDA,7,1,จบ
66953,MTA,22,สารสนเทศศาสตร์,2.31,2.16,2559,2562,3,0,91011,พิมานพิทยาสรรค์,สตูล,S,BDA,7,0,จบ
66994,DCM,22,สารสนเทศศาสตร์,2.45,1.57,2559,2562,3,1,80111,วิทยาลัยอาชีวศึกษานครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,2,จบ
66999,MTA,22,สารสนเทศศาสตร์,2.16,3.1,2559,2562,3,1,7,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอระโนด,สงขลา,S,BDA,7,2,จบ
67029,MTA,22,สารสนเทศศาสตร์,2.87,3.17,2559,2562,3,0,99840040,ธิดาแม่พระ,สุราษฎร์ธานี,S,BDA,7,3,จบ
67035,MTA,22,สารสนเทศศาสตร์,3.33,3.56,2559,2562,2,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,2,จบ
67051,DCM,22,สารสนเทศศาสตร์,2.89,2.48,2559,2562,3,1,90117,บริหารธุรกิจวิทยา,สงขลา,S,BDA,7,2,จบ
67052,DCA,22,สารสนเทศศาสตร์,3.28,3.13,2559,2562,3,0,410102,สตรีราชินูทิศ,อุดรธานี,EN,BDA,7,3,จบ
67059,ITD,22,สารสนเทศศาสตร์,2.87,2.25,2559,2562,3,1,80018,ฉวางรัชดาภิเษก,นครศรีธรรมราช,S,BDA,7,2,จบ
67064,MTA,22,สารสนเทศศาสตร์,2.97,2.92,2559,2562,3,1,84102,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอเมืองสุราษฏร์ธานี,สุราษฎร์ธานี,S,BDA,7,1,จบ
67066,DCA,22,สารสนเทศศาสตร์,2.44,2.7,2559,2562,3,1,99840033,พะตงวิทยามูลนิธิ,สงขลา,S,BDA,7,1,จบ
67123,MTA,22,สารสนเทศศาสตร์,3.27,3.58,2559,2562,3,1,84012,ดอนสักผดุงวิทย์,สุราษฎร์ธานี,S,BDA,7,1,จบ
67125,ITD,22,สารสนเทศศาสตร์,3.59,3.6,2559,2562,2,1,93106,วิทยาลัยเทคนิคพัทลุง,พัทลุง,S,BDA,7,3,จบ
67151,MTA,22,สารสนเทศศาสตร์,3.09,2.05,2559,2562,2,1,82009,ท้ายเหมืองวิทยา,พังงา,S,BDA,7,2,จบ
67205,DCM,22,สารสนเทศศาสตร์,3.08,2.36,2559,2562,3,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,ภูเก็ต,S,BDA,7,3,จบ
67224,MTA,22,สารสนเทศศาสตร์,2.68,2.61,2559,2562,3,1,80018,ฉวางรัชดาภิเษก,นครศรีธรรมราช,S,BDA,7,1,จบ
67230,MTA,22,สารสนเทศศาสตร์,2.98,3.25,2559,2562,3,1,99840033,พะตงวิทยามูลนิธิ,สงขลา,S,BDA,7,1,จบ
67232,ITD,22,สารสนเทศศาสตร์,2.86,2.72,2559,2562,3,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,3,จบ
67236,DCM,22,สารสนเทศศาสตร์,3.35,2.97,2559,2562,3,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,ภูเก็ต,S,BDA,7,2,จบ
67523,DCA,22,สารสนเทศศาสตร์,2.62,3.22,2559,2562,2,0,70508,นารีวุฒิ,ราชบุรี,W,BDA,2,2,จบ
67684,MTA,22,สารสนเทศศาสตร์,3.35,3.44,2559,2562,3,1,92010,ทุ่งหนองแห้งประชาสรรค์,ตรัง,S,BDA,0,3,จบ
67750,DCA,22,สารสนเทศศาสตร์,2.27,2.6,2559,2562,2,0,80002,กัลยาณีศรีธรรมราช,นครศรีธรรมราช,S,BDA,0,3,จบ
67796,DCA,22,สารสนเทศศาสตร์,2.28,2.25,2559,2562,3,1,93030,หารเทารังสีประชาสรรค์,พัทลุง,S,BDA,0,2,จบ
67859,ITD,22,สารสนเทศศาสตร์,2.08,2.15,2559,2562,3,1,80086,สิชลคุณาธารวิทยา,นครศรีธรรมราช,S,BDA,7,1,จบ
67863,MTA,22,สารสนเทศศาสตร์,2.3,2.37,2559,2562,2,1,80075,ศรีธรรมราชศึกษา,นครศรีธรรมราช,S,BDA,7,1,จบ
67890,DCA,22,สารสนเทศศาสตร์,2.32,2.75,2559,2562,3,1,92022,สภาราชินี 2,ตรัง,S,BDA,7,2,จบ
67946,MTA,22,สารสนเทศศาสตร์,2.94,3.16,2559,2562,2,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,ภูเก็ต,S,BDA,7,2,จบ
67958,MTA,22,สารสนเทศศาสตร์,2.86,2.22,2559,2562,3,0,1083400060,เฉลิมพระเกียรติสมเด็จพระศรีนครินทร์ ภูเก็ต,ภูเก็ต,S,BDA,7,2,จบ
67963,MTA,22,สารสนเทศศาสตร์,3.33,3.22,2559,2562,3,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,ภูเก็ต,S,BDA,7,2,จบ
67969,DCA,22,สารสนเทศศาสตร์,2.16,2.53,2559,2562,3,1,83104,วิทยาลัยอาชีวะศึกษาภูเก็ต,ภูเก็ต,S,BDA,7,2,จบ
67971,DCA,22,สารสนเทศศาสตร์,2.56,2,2559,2562,2,1,90307,จริยธรรมศึกษามูลนิธิ,สงขลา,S,BDA,7,1,จบ
67975,DCA,22,สารสนเทศศาสตร์,3.18,2.37,2559,2562,3,1,8,ศูนย์บริการการศึกษานอกโรงเรียนอำเภอหัวไทร,นครศรีธรรมราช,S,BDA,7,2,จบ
68028,MTA,22,สารสนเทศศาสตร์,2.27,2.74,2559,2562,2,1,80701,วิทยาลัยเทคนิคนครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,1,จบ
68035,MTA,22,สารสนเทศศาสตร์,2.98,3.11,2559,2562,2,1,80118,วิทยาลัยศิลปหัตถกรรมนครศรีธรรมราช,นครศรีธรรมราช,S,BDA,7,1,จบ
